fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento_txt,overflow
2023-01-16,1.1,39.4,11.4,NO,0
2023-01-17,1.95,148.6,8.8,NO,0
2023-01-18,1.78,112.0,12.4,NO,0
2023-01-19,1.46,72.8,4.2,NO,0
2023-01-20,1.87,135.0,0.0,NO,0
2023-01-21,2.07,145.8,0.2,NO,0
2023-01-22,1.59,89.1,0.0,NO,0
2023-01-23,1.35,67.2,0.0,NO,0
2023-01-24,1.29,63.9,0.0,NO,0
2023-01-25,1.23,55.8,3.8,NO,0
2023-01-26,1.12,49.0,0.8,NO,0
2023-01-27,1.41,76.6,1.0,NO,0
2023-01-28,1.55,91.1,0.2,NO,0
2023-01-29,1.4,75.2,0.0,NO,0
2023-01-30,1.26,59.3,0.0,NO,0
2023-01-31,1.13,50.0,0.0,NO,0
2023-02-01,1.11,47.2,0.0,NO,0
2023-02-02,1.22,57.6,0.0,NO,0
2023-02-03,1.24,59.4,0.0,NO,0
2023-02-04,1.14,49.3,0.0,NO,0
2023-02-05,1.1,46.6,0.0,NO,0
2023-02-06,1.08,43.5,0.0,NO,0
2023-02-07,1.09,44.7,0.6,NO,0
2023-02-08,1.09,45.0,0.0,NO,0
2023-02-09,1.07,43.6,0.0,NO,0
2023-02-10,1.01,34.7,0.0,NO,0
2023-02-11,0.99,32.7,0.0,NO,0
2023-02-12,0.97,29.7,0.0,NO,0
2023-02-13,0.94,25.4,0.0,NO,0
2023-02-14,0.94,24.8,0.0,NO,0
2023-02-15,0.95,26.7,0.0,NO,0
2023-02-16,0.97,30.1,0.0,NO,0
2023-02-17,0.99,34.6,0.0,NO,0
2023-02-18,0.98,36.4,0.0,NO,0
2023-02-20,1.05,41.8,0.0,NO,0
2023-02-21,1.07,39.8,0.0,NO,0
2023-02-22,1.0,34.1,9.8,NO,0
2023-02-23,1.11,46.5,5.8,NO,0
2023-02-24,1.15,49.7,0.0,NO,0
2023-02-25,1.04,40.6,0.4,NO,0
2023-02-26,1.02,38.0,0.0,NO,0
2023-02-27,1.01,36.4,0.8,NO,0
2023-02-28,1.0,34.7,0.6,NO,0
2023-03-01,0.94,25.1,0.0,NO,0
2023-03-02,0.93,25.0,0.0,NO,0
2023-03-03,0.94,26.4,0.2,NO,0
2023-03-04,0.96,29.2,0.0,NO,0
2023-03-05,0.94,26.4,0.0,NO,0
2023-03-08,1.11,45.3,1.8,NO,0
2023-03-09,1.29,59.3,0.2,NO,0
2023-03-10,1.21,53.0,0.0,NO,0
2023-03-11,0.99,34.3,0.6,NO,0
2023-03-12,0.99,34.3,0.0,NO,0
2023-03-13,1.04,38.9,0.6,NO,0
2023-03-14,0.96,31.8,0.0,NO,0
2023-03-15,0.95,27.5,0.0,NO,0
2023-03-16,0.89,14.7,0.0,NO,0
2023-03-17,0.87,12.7,0.2,NO,0
2023-03-18,0.88,13.9,1.4,NO,0
2023-03-19,0.88,13.5,0.0,NO,0
2023-03-20,0.88,14.1,0.0,NO,0
2023-03-21,0.88,14.1,0.0,NO,0
2023-03-22,0.88,14.4,0.0,NO,0
2023-03-23,0.87,13.7,0.0,NO,0
2023-03-24,0.87,16.5,0.8,NO,0
2023-03-25,0.87,16.7,0.0,NO,0
2023-03-26,0.88,16.8,0.0,NO,0
2023-03-27,0.87,13.9,0.0,NO,0
2023-03-28,0.85,10.6,0.0,NO,0
2023-03-29,0.85,10.6,0.0,NO,0
2023-03-30,0.84,10.6,0.0,NO,0
2023-03-31,0.84,10.6,0.0,NO,0
2023-04-01,0.85,10.6,1.4,NO,0
2023-04-02,0.85,10.6,0.0,NO,0
2023-04-03,0.85,10.5,0.0,NO,0
2023-04-04,0.83,10.2,0.0,NO,0
2023-04-05,0.88,10.2,0.0,NO,0
2023-04-06,0.95,10.3,0.0,NO,0
2023-04-07,0.95,10.3,0.0,NO,0
2023-04-08,0.95,10.3,0.0,NO,0
2023-04-09,0.96,10.3,0.0,NO,0
