fecha,nivel_m,caudal_m3s,lluvia_mm,desbordamiento,caudal_log,nivel_lag1,caudal_lag1,nivel_lag2,caudal_lag2,lluvia_3d,lluvia_7d,lluvia_media_7d,nivel_diff,caudal_diff,nivel_media_3,caudal_media_3,nivel_media_7,caudal_media_7,dia_sin,dia_cos
2023-08-31,0.88,20.51,0.0,0,3.068517943279639,0.84,2.9444389791664403,0.84,2.9444389791664403,0.3999999999999929,14.399999999999993,2.057142857142856,0.040000000000000036,2.5100000000000016,0.8533333333333334,18.836666666666673,0.8457142857142858,18.358571428571427,-0.8573146280763322,-0.514792801509831
2023-09-01,0.85,18.63,0.0,0,2.9770590082883697,0.88,3.068517943279639,0.84,2.9444389791664403,0.0,14.399999999999993,2.057142857142856,-0.030000000000000027,-1.8800000000000026,0.8566666666666666,19.046666666666674,0.8471428571428571,18.448571428571427,-0.8660254037844385,-0.5000000000000004
2023-09-02,0.69,9.99,0.0,0,2.39698576841553,0.85,2.9770590082883697,0.88,3.068517943279639,0.0,9.199999999999992,1.3142857142857132,-0.16000000000000003,-8.639999999999999,0.8066666666666666,16.376666666666676,0.8257142857142857,17.304285714285715,-0.8744809578310394,-0.4850598461951967
2023-09-03,0.7,10.34,0.0,0,2.428336298299606,0.69,2.39698576841553,0.85,2.9770590082883697,0.0,1.3999999999999928,0.19999999999999898,0.010000000000000009,0.34999999999999964,0.7466666666666666,12.986666666666673,0.8057142857142857,16.21,-0.8826787983255475,-0.4699767430273199
2023-09-04,0.7,10.34,14.2,0,2.428336298299606,0.7,2.428336298299606,0.69,2.39698576841553,14.199999999999992,14.599999999999993,2.0857142857142845,0.0,0.0,0.6966666666666667,10.223333333333342,0.7857142857142857,15.115714285714287,-0.8906165093267404,-0.45475513555610575
2023-09-05,0.7,10.34,0.2,0,2.428336298299606,0.7,2.428336298299606,0.7,2.428336298299606,14.399999999999991,14.399999999999991,2.057142857142856,0.0,0.0,0.7,10.34,0.7657142857142858,14.021428571428572,-0.8982917515547529,-0.43939950965914165
2023-09-06,0.7,10.34,0.0,0,2.428336298299606,0.7,2.428336298299606,0.7,2.428336298299606,14.399999999999991,14.399999999999991,2.057142857142856,0.0,0.0,0.7,10.34,0.7457142857142857,12.927142857142856,-0.9057022630804714,-0.42391439070986087
2023-09-07,0.7,10.34,0.0,0,2.428336298299606,0.7,2.428336298299606,0.7,2.428336298299606,0.1999999999999929,14.399999999999991,2.057142857142856,0.0,0.0,0.7,10.34,0.7199999999999999,11.474285714285713,-0.9128458599921354,-0.40830434224389367
2023-09-08,0.7,10.34,0.0,0,2.428336298299606,0.7,2.428336298299606,0.7,2.428336298299606,0.0,14.399999999999991,2.057142857142856,0.0,0.0,0.7,10.34,0.6985714285714285,10.289999999999997,-0.9197204370389468,-0.3925739646141714
2023-09-09,0.7,10.34,0.0,0,2.428336298299606,0.7,2.428336298299606,0.7,2.428336298299606,0.0,14.399999999999991,2.057142857142856,0.0,0.0,0.7,10.34,0.7,10.34,-0.9263239682514951,-0.3767278936351848
2023-09-10,0.7,10.34,1.2,0,2.428336298299606,0.7,2.428336298299606,0.7,2.428336298299606,1.1999999999999929,15.599999999999993,2.2285714285714273,0.0,0.0,0.7,10.34,0.7,10.34,-0.9326545075388225,-0.3607707992167831
2023-09-11,0.7,10.34,2.6,0,2.428336298299606,0.7,2.428336298299606,0.7,2.428336298299606,3.7999999999999927,3.999999999999993,0.5714285714285704,0.0,0.0,0.7,10.34,0.7,10.34,-0.9387101892619443,-0.3447073839879337
2023-09-12,0.7,10.34,0.0,0,2.428336298299606,0.7,2.428336298299606,0.7,2.428336298299606,3.799999999999993,3.7999999999999927,0.5428571428571418,0.0,0.0,0.7,10.34,0.7,10.34,-0.9444892287836613,-0.32854238191083474
